Refdatum,IdLandkreis,AnzahlFall,AnzahlTodesfall,AnzahlGenesen
2020-01,1001,2,0,2
2020-01,1002,3,0,3
2020-01,1004,1,0,1
2020-01,1053,1,0,1
2020-01,1054,1,0,1
2020-01,1056,19,0,19
2020-01,1057,1,0,1
2020-01,1058,8,0,8
2020-01,1059,5,0,5
2020-01,1060,1,0,1
2020-01,1062,5,0,5
2020-01,2000,10,0,10
2020-01,3101,1,0,1
2020-01,3102,1,0,1
2020-01,3151,1,0,1
2020-01,3155,1,0,1
2020-01,3241,4,0,4
2020-01,3255,1,0,1
2020-01,3354,1,0,1
2020-01,3402,1,0,1
2020-01,3404,1,0,1
2020-01,3455,1,0,1
2020-01,4011,2,0,2
2020-01,5111,1,0,1
2020-01,5113,3,0,3
2020-01,5119,2,0,2
2020-01,5124,4,0,4
2020-01,5154,5,0,5
2020-01,5158,3,0,3
2020-01,5162,1,0,1
2020-01,5166,1,0,1
2020-01,5315,5,0,5
2020-01,5316,1,0,1
2020-01,5334,7,1,6
2020-01,5370,1,0,1
2020-01,5374,4,0,4
2020-01,5378,1,0,1
2020-01,5382,4,0,4
2020-01,5515,3,0,3
2020-01,5554,2,0,2
2020-01,5562,1,0,1
2020-01,5711,4,0,4
2020-01,5754,6,0,6
2020-01,5911,1,0,1
2020-01,5913,3,0,3
2020-01,5954,3,0,3
2020-01,5958,1,0,1
2020-01,5962,4,0,4
2020-01,5970,6,0,6
2020-01,5974,2,0,2
2020-01,5978,6,0,6
2020-01,6412,1,0,1
2020-01,6414,1,0,1
2020-01,6432,1,0,1
2020-01,6433,1,0,1
2020-01,6435,1,0,1
2020-01,6436,3,0,3
2020-01,6438,4,0,4
2020-01,6440,1,0,1
2020-01,6533,2,0,2
2020-01,6535,1,0,1
2020-01,6611,2,0,2
2020-01,6633,5,0,5
2020-01,7134,6,0,6
2020-01,7138,1,0,1
2020-01,7140,2,0,2
2020-01,7141,1,0,1
2020-01,7235,1,0,1
2020-01,7312,1,0,1
2020-01,7314,1,1,0
2020-01,7335,1,0,1
2020-01,8121,1,0,1
2020-01,8231,1,0,1
2020-01,8236,3,0,3
2020-01,8317,2,0,2
2020-01,8325,1,0,1
2020-01,8417,1,0,1
2020-01,8437,2,0,2
2020-01,9161,2,0,2
2020-01,9162,19,0,19
2020-01,9177,1,0,1
2020-01,9178,2,0,2
2020-01,9179,2,0,2
2020-01,9180,1,0,1
2020-01,9181,2,0,2
2020-01,9188,1,0,1
2020-01,9189,5,0,5
2020-01,9263,1,0,1
2020-01,9273,1,0,1
2020-01,9277,2,1,1
2020-01,9464,1,0,1
2020-01,9474,1,0,1
2020-01,9475,2,0,2
2020-01,9478,1,0,1
2020-01,9563,1,0,1
2020-01,9575,1,0,1
2020-01,9671,1,0,1
2020-01,9675,3,0,3
2020-01,9676,1,0,1
2020-01,9761,4,0,4
2020-01,10041,7,0,7
2020-01,10042,1,0,1
2020-01,10043,1,0,1
2020-01,11003,1,0,1
2020-01,11004,5,0,5
2020-01,11007,3,0,3
2020-01,11010,1,0,1
2020-01,11011,2,0,2
2020-01,11012,1,0,1
2020-01,12054,5,0,5
2020-01,12060,1,0,1
2020-01,12061,3,0,3
2020-01,12064,2,0,2
2020-01,12065,1,1,0
2020-01,12069,2,0,2
2020-01,12072,1,0,1
2020-01,13073,1,0,1
2020-01,13075,1,0,1
2020-01,13076,1,0,1
2020-01,14511,1,0,1
2020-01,14521,1,0,1
2020-01,14522,8,0,8
2020-01,14523,2,0,2
2020-01,14524,7,0,7
2020-01,14612,11,1,10
2020-01,14626,2,1,1
2020-01,14627,3,0,3
2020-01,14628,2,0,2
2020-01,14713,1,0,1
2020-01,14729,1,0,1
2020-01,15002,4,0,4
2020-01,15082,2,1,1
2020-01,15090,1,0,1
2020-01,16051,1,0,1
2020-01,16055,1,0,1
2020-01,16063,1,0,1
2020-01,16077,2,0,2
2020-02,1002,1,0,1
2020-02,1003,1,0,1
2020-02,1051,1,0,1
2020-02,1053,3,1,2
2020-02,1056,3,0,3
2020-02,1058,4,0,4
2020-02,1060,1,0,1
2020-02,1062,1,0,1
2020-02,2000,17,0,17
2020-02,3102,2,0,2
2020-02,3103,1,0,1
2020-02,3155,2,0,2
2020-02,3241,5,0,5
2020-02,3252,1,0,1
2020-02,3254,1,0,1
2020-02,3255,1,0,1
2020-02,3352,1,0,1
2020-02,3357,3,0,3
2020-02,3359,1,0,1
2020-02,3401,1,0,1
2020-02,3403,1,0,1
2020-02,3405,1,0,1
2020-02,3451,1,0,1
2020-02,3453,1,0,1
2020-02,3456,1,0,1
2020-02,4011,3,0,3
2020-02,5111,13,0,13
2020-02,5112,3,0,3
2020-02,5113,3,1,2
2020-02,5116,4,0,4
2020-02,5117,3,0,3
2020-02,5119,3,1,2
2020-02,5120,1,0,1
2020-02,5122,2,0,2
2020-02,5124,4,0,4
2020-02,5154,3,0,3
2020-02,5158,7,0,7
2020-02,5162,10,0,10
2020-02,5166,7,0,7
2020-02,5170,2,0,2
2020-02,5314,5,0,5
2020-02,5315,37,0,37
2020-02,5316,1,0,1
2020-02,5334,40,1,39
2020-02,5358,5,0,5
2020-02,5362,6,1,5
2020-02,5366,2,0,2
2020-02,5370,362,1,361
2020-02,5374,2,0,2
2020-02,5378,5,0,5
2020-02,5382,9,0,9
2020-02,5513,1,0,1
2020-02,5515,5,0,5
2020-02,5554,6,0,6
2020-02,5558,4,0,4
2020-02,5562,3,0,3
2020-02,5566,1,0,1
2020-02,5711,2,0,2
2020-02,5754,1,0,1
2020-02,5758,3,0,3
2020-02,5766,2,0,2
2020-02,5770,1,0,1
2020-02,5774,3,0,3
2020-02,5911,2,0,2
2020-02,5913,7,0,7
2020-02,5915,2,0,2
2020-02,5954,5,0,5
2020-02,5962,6,0,6
2020-02,5966,1,0,1
2020-02,5970,2,0,2
2020-02,5978,3,0,3
2020-02,6412,9,0,9
2020-02,6414,7,0,7
2020-02,6431,1,0,1
2020-02,6432,1,0,1
2020-02,6433,3,0,3
2020-02,6434,3,0,3
2020-02,6435,4,0,4
2020-02,6436,2,1,1
2020-02,6438,1,0,1
2020-02,6439,1,0,1
2020-02,6440,1,0,1
2020-02,6531,3,0,3
2020-02,6532,2,0,2
2020-02,6535,1,0,1
2020-02,6631,3,0,3
2020-02,6634,1,0,1
2020-02,6635,2,0,2
2020-02,7134,1,0,1
2020-02,7143,1,0,1
2020-02,7211,1,0,1
2020-02,7232,2,0,2
2020-02,7233,1,0,1
2020-02,7235,1,0,1
2020-02,7312,3,0,3
2020-02,7314,1,0,1
2020-02,7315,2,0,2
2020-02,7316,1,0,1
2020-02,7331,1,0,1
2020-02,7332,1,0,1
2020-02,7336,1,0,1
2020-02,8111,3,0,3
2020-02,8115,5,0,5
2020-02,8116,13,0,13
2020-02,8117,8,0,8
2020-02,8118,8,0,8
2020-02,8119,13,3,10
2020-02,8121,3,0,3
2020-02,8125,17,1,16
2020-02,8126,2,0,2
2020-02,8127,2,0,2
2020-02,8128,2,0,2
2020-02,8135,1,0,1
2020-02,8136,5,0,5
2020-02,8211,1,0,1
2020-02,8212,1,0,1
2020-02,8215,3,1,2
2020-02,8221,2,0,2
2020-02,8222,8,0,8
2020-02,8225,4,0,4
2020-02,8226,1,0,1
2020-02,8231,1,0,1
2020-02,8235,6,2,4
2020-02,8236,1,0,1
2020-02,8237,1,0,1
2020-02,8311,6,0,6
2020-02,8315,6,0,6
2020-02,8316,8,1,7
2020-02,8317,9,0,9
2020-02,8325,2,0,2
2020-02,8326,2,0,2
2020-02,8335,2,0,2
2020-02,8336,8,0,8
2020-02,8337,2,0,2
2020-02,8415,3,0,3
2020-02,8416,3,0,3
2020-02,8417,2,1,1
2020-02,8421,2,0,2
2020-02,8426,3,0,3
2020-02,8435,4,0,4
2020-02,8436,3,0,3
2020-02,8437,5,0,5
2020-02,9161,4,0,4
2020-02,9162,28,0,28
2020-02,9173,1,0,1
2020-02,9174,2,0,2
2020-02,9175,6,0,6
2020-02,9177,1,0,1
2020-02,9178,30,0,30
2020-02,9179,2,0,2
2020-02,9181,1,0,1
2020-02,9182,1,0,1
2020-02,9183,2,0,2
2020-02,9184,4,0,4
2020-02,9185,1,1,0
2020-02,9186,2,1,1
2020-02,9187,4,1,3
2020-02,9188,6,0,6
2020-02,9189,2,0,2
2020-02,9190,5,1,4
2020-02,9261,2,0,2
2020-02,9271,1,0,1
2020-02,9273,2,0,2
2020-02,9274,2,0,2
2020-02,9275,2,0,2
2020-02,9277,7,0,7
2020-02,9278,1,0,1
2020-02,9279,2,0,2
2020-02,9362,1,0,1
2020-02,9371,3,0,3
2020-02,9372,4,0,4
2020-02,9373,1,0,1
2020-02,9374,1,0,1
2020-02,9375,4,0,4
2020-02,9376,1,0,1
2020-02,9377,2,0,2
2020-02,9471,1,0,1
2020-02,9473,1,0,1
2020-02,9474,1,1,0
2020-02,9475,1,0,1
2020-02,9562,1,0,1
2020-02,9563,1,0,1
2020-02,9564,5,0,5
2020-02,9565,2,0,2
2020-02,9571,4,0,4
2020-02,9572,3,1,2
2020-02,9573,1,0,1
2020-02,9574,3,0,3
2020-02,9575,2,0,2
2020-02,9576,1,0,1
2020-02,9661,1,0,1
2020-02,9662,1,0,1
2020-02,9663,1,0,1
2020-02,9671,4,0,4
2020-02,9672,1,0,1
2020-02,9674,1,0,1
2020-02,9675,1,0,1
2020-02,9676,2,0,2
2020-02,9677,3,0,3
2020-02,9678,1,0,1
2020-02,9679,3,0,3
2020-02,9761,5,0,5
2020-02,9764,1,0,1
2020-02,9771,1,0,1
2020-02,9772,4,0,4
2020-02,9774,2,0,2
2020-02,9775,1,0,1
2020-02,9776,3,0,3
2020-02,9777,3,0,3
2020-02,9778,2,0,2
2020-02,9779,3,1,2
2020-02,9780,3,0,3
2020-02,10041,7,0,7
2020-02,10042,1,0,1
2020-02,10043,3,1,2
2020-02,10044,5,0,5
2020-02,10045,3,0,3
2020-02,11001,8,0,8
2020-02,11002,3,0,3
2020-02,11003,5,0,5
2020-02,11004,3,0,3
2020-02,11005,1,0,1
2020-02,11006,2,0,2
2020-02,11007,2,0,2
2020-02,11008,6,0,6
2020-02,11009,1,0,1
2020-02,11010,2,0,2
2020-02,11011,2,0,2
2020-02,12051,1,0,1
2020-02,12060,3,0,3
2020-02,12062,2,0,2
2020-02,12063,1,0,1
2020-02,12064,2,0,2
2020-02,12065,2,0,2
2020-02,12067,1,0,1
2020-02,12068,1,0,1
2020-02,12069,1,0,1
2020-02,12070,2,0,2
2020-02,12072,1,1,0
2020-02,13073,1,0,1
2020-02,13074,1,0,1
2020-02,13076,5,0,5
2020-02,14511,1,1,0
2020-02,14521,2,0,2
2020-02,14523,2,0,2
2020-02,14524,1,0,1
2020-02,14612,2,0,2
2020-02,14625,4,0,4
2020-02,14627,2,0,2
2020-02,14713,3,0,3
2020-02,14729,4,0,4
2020-02,14730,1,1,0
2020-02,15001,1,0,1
2020-02,15002,1,0,1
2020-02,15081,1,0,1
2020-02,15083,1,0,1
2020-02,15089,1,0,1
2020-02,15091,1,0,1
2020-02,16053,1,0,1
2020-02,16061,2,0,2
2020-02,16070,2,0,2
2020-02,16073,1,0,1
2020-02,16075,3,0,3
2020-02,16076,1,0,1
2020-02,16077,1,0,1
2020-03,1001,27,2,25
2020-03,1002,162,5,157
2020-03,1003,118,1,117
2020-03,1004,36,2,34
2020-03,1051,44,2,42
2020-03,1053,165,5,160
2020-03,1054,52,1,51
2020-03,1055,51,0,51
2020-03,1056,300,10,290
2020-03,1057,85,5,80
2020-03,1058,164,12,152
2020-03,1059,99,2,97
2020-03,1060,147,4,143
2020-03,1061,62,1,61
2020-03,1062,204,7,197
2020-03,2000,3013,81,2932
2020-03,3101,220,9,211
2020-03,3102,72,2,70
2020-03,3103,194,36,158
2020-03,3151,98,2,96
2020-03,3153,81,6,75
2020-03,3154,79,0,79
2020-03,3155,48,1,47
2020-03,3157,111,9,102
2020-03,3158,64,0,64
2020-03,3159,309,23,286
2020-03,3241,1081,33,1048
2020-03,3251,187,13,174
2020-03,3252,88,6,82
2020-03,3254,189,1,188
2020-03,3255,73,2,71
2020-03,3256,42,1,41
2020-03,3257,81,0,81
2020-03,3351,113,6,107
2020-03,3352,64,3,61
2020-03,3353,193,3,190
2020-03,3354,13,1,12
2020-03,3355,124,0,124
2020-03,3356,62,0,62
2020-03,3357,74,2,72
2020-03,3358,42,2,40
2020-03,3359,146,5,141
2020-03,3360,28,0,28
2020-03,3361,93,2,91
2020-03,3401,26,2,24
2020-03,3402,14,0,14
2020-03,3403,111,0,111
2020-03,3404,349,7,342
2020-03,3405,9,0,9
2020-03,3451,103,3,100
2020-03,3452,70,4,66
2020-03,3453,58,0,58
2020-03,3454,209,9,200
2020-03,3455,23,1,22
2020-03,3456,110,7,103
2020-03,3457,58,2,56
2020-03,3458,146,9,137
2020-03,3459,514,21,493
2020-03,3460,177,4,173
2020-03,3461,51,1,50
2020-03,3462,18,0,18
2020-03,4011,349,12,337
2020-03,4012,26,0,26
2020-03,5111,531,20,511
2020-03,5112,396,14,382
2020-03,5113,479,19,460
2020-03,5114,272,3,269
2020-03,5116,280,15,265
2020-03,5117,99,3,96
2020-03,5119,113,1,112
2020-03,5120,98,6,92
2020-03,5122,153,6,147
2020-03,5124,320,19,301
2020-03,5154,300,8,292
2020-03,5158,502,30,472
2020-03,5162,474,15,459
2020-03,5166,314,14,300
2020-03,5170,323,11,312
2020-03,5314,380,5,375
2020-03,5315,1664,71,1593
2020-03,5316,152,2,150
2020-03,5334,1195,56,1139
2020-03,5358,313,18,295
2020-03,5362,528,29,499
2020-03,5366,185,11,174
2020-03,5370,1120,71,1049
2020-03,5374,303,13,290
2020-03,5378,274,8,266
2020-03,5382,746,25,721
2020-03,5512,55,2,53
2020-03,5513,188,8,180
2020-03,5515,519,10,509
2020-03,5554,637,24,613
2020-03,5558,387,14,373
2020-03,5562,526,6,520
2020-03,5566,576,25,551
2020-03,5570,342,8,334
2020-03,5711,186,3,183
2020-03,5754,483,10,473
2020-03,5758,217,5,212
2020-03,5762,151,4,147
2020-03,5766,417,9,408
2020-03,5770,299,4,295
2020-03,5774,340,12,328
2020-03,5911,312,16,296
2020-03,5913,447,3,444
2020-03,5914,108,2,106
2020-03,5915,217,6,211
2020-03,5916,68,1,67
2020-03,5954,287,8,279
2020-03,5958,394,8,386
2020-03,5962,202,11,191
2020-03,5966,232,12,220
2020-03,5970,174,6,168
2020-03,5974,235,5,230
2020-03,5978,345,21,324
2020-03,6411,125,1,124
2020-03,6412,646,24,622
2020-03,6413,48,6,42
2020-03,6414,222,7,215
2020-03,6431,246,3,243
2020-03,6432,234,11,223
2020-03,6433,254,4,250
2020-03,6434,186,4,182
2020-03,6435,264,10,254
2020-03,6436,157,5,152
2020-03,6437,120,21,99
2020-03,6438,267,16,251
2020-03,6439,159,4,155
2020-03,6440,165,4,161
2020-03,6531,174,2,172
2020-03,6532,250,9,241
2020-03,6533,202,2,200
2020-03,6534,140,2,138
2020-03,6535,80,2,78
2020-03,6611,109,3,106
2020-03,6631,219,6,213
2020-03,6632,56,2,54
2020-03,6633,137,5,132
2020-03,6634,254,17,237
2020-03,6635,85,0,85
2020-03,6636,29,1,28
2020-03,7111,171,10,161
2020-03,7131,91,1,90
2020-03,7132,73,0,73
2020-03,7133,105,0,105
2020-03,7134,54,1,53
2020-03,7135,111,1,110
2020-03,7137,256,7,249
2020-03,7138,139,2,137
2020-03,7140,115,0,115
2020-03,7141,120,6,114
2020-03,7143,205,8,197
2020-03,7211,79,0,79
2020-03,7231,83,1,82
2020-03,7232,110,4,106
2020-03,7233,59,0,59
2020-03,7235,114,4,110
2020-03,7311,25,1,24
2020-03,7312,78,2,76
2020-03,7313,49,1,48
2020-03,7314,116,1,115
